Observation id,12_28_37_GRABoxt_Mating_Behavior,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,,,,,,,
Player #1,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,,,,,,,
Player #1,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,,,,,,,
,,,,,,,,
Observation date,2022-02-16 11:04:35,,,,,,,
,,,,,,,,
Description,video1_2022-01-29T12_28_37,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0.033,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
0.200,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
1.967,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
3.333,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
7.333,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
7.533,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
7.967,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
8.000,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
9.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
9.467,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
10.333,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
14.500,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
21.333,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
21.567,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
21.600,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
25.900,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
26.800,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
27.400,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
27.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
28.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
29.167,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
29.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
36.000,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
36.033,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
39.833,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
40.133,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
40.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
41.533,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
43.533,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
44.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
45.400,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
45.667,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
46.467,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
46.500,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
48.067,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
49.233,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
49.267,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,START
49.967,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,STOP
50.000,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
50.633,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
50.667,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,START
51.500,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,STOP
58.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
59.400,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
59.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
60.567,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
65.767,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
66.867,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
68.233,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
70.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
74.033,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
74.067,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
74.100,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
76.833,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
76.867,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
77.400,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
78.467,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
81.200,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
82.967,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
83.000,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
83.833,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
85.200,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
85.233,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
85.567,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
86.233,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
89.633,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
95.067,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
95.733,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
97.133,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
98.133,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
98.167,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
99.067,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
99.467,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
100.633,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
102.300,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
107.233,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
107.267,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
110.933,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
111.967,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
112.133,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,START
113.200,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,STOP
113.233,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
113.933,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
114.067,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,START
115.200,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,STOP
115.233,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
115.867,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
122.067,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
123.300,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
123.333,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
127.267,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
127.300,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
128.833,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
132.833,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
136.167,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
137.200,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
137.600,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
137.633,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,START
139.133,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,STOP
143.333,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
144.867,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
148.233,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
150.333,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
151.667,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
152.900,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
153.467,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
154.000,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
154.033,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,START
154.933,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,STOP
154.967,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
157.400,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
157.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,START
158.700,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,e,,,STOP
158.733,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
160.500,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
162.033,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
162.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
163.000,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
163.667,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
164.567,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
164.867,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
164.933,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
166.200,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
173.667,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
267.667,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
271.100,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
542.700,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
543.733,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
546.267,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
547.400,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
558.133,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
561.467,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
